Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0031773746505424,0.0023784792756689,0.004023706329983
Andhra Pradesh,1991,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0030778329796523,0.0022780141902644,0.0038607412032734
Andhra Pradesh,1992,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0029717390184651,0.0022165650495653,0.0037255864330826
Andhra Pradesh,1993,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0028608452114295,0.0021096117484815,0.0035925966061823
Andhra Pradesh,1994,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0027459259993174,0.0020209521948063,0.0034889714268108
Andhra Pradesh,1995,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0026282402612505,0.0018973034140027,0.003385808927046
Andhra Pradesh,1996,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0024957142820298,0.0017924684781625,0.0032159039707923
Andhra Pradesh,1997,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0023452223533968,0.0016716819955816,0.003033504609421
Andhra Pradesh,1998,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0021908303763732,0.0015584156117468,0.0028666126393278
Andhra Pradesh,1999,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0020466485890044,0.0014301203377781,0.0027105792725538
Andhra Pradesh,2000,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0019258548103735,0.0013293514435061,0.0026293295369123
Andhra Pradesh,2001,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0018252417059304,0.0012705337339299,0.0025063474792693
Andhra Pradesh,2002,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0017315170937443,0.0012129788218222,0.0023632929734713
Andhra Pradesh,2003,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0016433884535661,0.0011357434974114,0.0022502991106176
Andhra Pradesh,2004,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0015601896492061,0.0010795473363752,0.0021254282574173
Andhra Pradesh,2005,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0014809447495276,0.0010194088130003,0.0020321017612273
Andhra Pradesh,2006,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0014073832563546,0.0009699918655815,0.001901733969446
Andhra Pradesh,2007,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0013402760238517,0.0009288509909544,0.0018111732417493
Andhra Pradesh,2008,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0012757966880271,0.0008819699437443,0.0017087134414088
Andhra Pradesh,2009,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0012101673317184,0.0008385447246427,0.001619927919201
Andhra Pradesh,2010,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0011397417366408,0.0007927746838348,0.0015349353025185
Andhra Pradesh,2011,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0010599136811025,0.0007388841617603,0.0014148697800975
Andhra Pradesh,2012,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0009716256128352,0.0006777160896172,0.0013039317896451
Andhra Pradesh,2013,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0008805645194289,0.0006178698795436,0.0011916237666948
Andhra Pradesh,2014,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0007946791586488,0.0005622706366249,0.0010850066269069
Andhra Pradesh,2015,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0007221862086296,0.0005129277504033,0.000987620918534
Andhra Pradesh,2016,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0006578059061482,0.0004678649271861,0.0008982636247086
Andhra Pradesh,2017,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0005964611654521,0.0004206579095429,0.0008248807275286
Andhra Pradesh,2018,<5 years,Female,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0005460293562145,0.0003791162190823,0.0007571942145011
