Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0066088444324374,0.0054660010448561,0.0077797630471251
Andhra Pradesh,1991,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0065150903659075,0.0054271214807674,0.0076734950004911
Andhra Pradesh,1992,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0064020958968577,0.0053592874051441,0.0075259477775935
Andhra Pradesh,1993,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0062710799249181,0.0052378314196977,0.0073940483402346
Andhra Pradesh,1994,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0061257755312307,0.0050483509342777,0.0072560266406832
Andhra Pradesh,1995,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0059692523244379,0.0049217831827419,0.0071046092350911
Andhra Pradesh,1996,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0057809734633729,0.0047345674097172,0.0068827875105506
Andhra Pradesh,1997,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0055413899788465,0.0045102330457392,0.0066615425859305
Andhra Pradesh,1998,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0052809312279923,0.004311584926884,0.0064125360645392
Andhra Pradesh,1999,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0050279893916617,0.0040875685086642,0.006140232071925
Andhra Pradesh,2000,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.004812744121101,0.0038950184562866,0.0059129669246408
Andhra Pradesh,2001,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0046184007630421,0.0037127418095357,0.0057090915905787
Andhra Pradesh,2002,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0044294513679197,0.0035447888650772,0.0054978520076422
Andhra Pradesh,2003,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0042489085109953,0.0033811502402284,0.0053080921248629
Andhra Pradesh,2004,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0040789182460416,0.0032381956805527,0.005130014319061
Andhra Pradesh,2005,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0039211308988032,0.0030959017358452,0.0049987713809648
Andhra Pradesh,2006,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0037681988405905,0.0029899663330472,0.004801369558519
Andhra Pradesh,2007,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0036146687204162,0.0028784281871842,0.0046051223069986
Andhra Pradesh,2008,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0034645405895767,0.0027542651823146,0.0044036213382548
Andhra Pradesh,2009,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0033222912158665,0.0026401207121906,0.0042146835779175
Andhra Pradesh,2010,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0031921878057591,0.0025144700365379,0.004067618239183
Andhra Pradesh,2011,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0030688320648256,0.0024445947852164,0.0038959778340852
Andhra Pradesh,2012,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0029467343705127,0.0023475690145679,0.0037357651057848
Andhra Pradesh,2013,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.002830428934071,0.0022590997038755,0.0035944738172172
Andhra Pradesh,2014,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0027238456262512,0.0021740710643695,0.0034506581619043
Andhra Pradesh,2015,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0026310328628941,0.0020860588481449,0.0033295121529848
Andhra Pradesh,2016,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0025506502729376,0.0020317831585817,0.0032322811152354
Andhra Pradesh,2017,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0024782368347071,0.0019573302076875,0.003128287740364
Andhra Pradesh,2018,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0024120398129347,0.0018810112376044,0.0030345844797718
Andhra Pradesh,2019,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0023510168865152,0.0017895761594991,0.002963236327056
Andhra Pradesh,2020,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0022832431610871,0.0017595928363112,0.0028843759693234
Andhra Pradesh,2021,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.002248394480778,0.0017320020899813,0.002842013684276
Arunachal Pradesh,1990,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.004984360589825,0.0037123736064435,0.0065445475846368
Arunachal Pradesh,1991,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0051887059909335,0.0039468714201493,0.0066915384241575
Arunachal Pradesh,1992,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.005339233061636,0.0041259079812759,0.006797880300396
Arunachal Pradesh,1993,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0054348353935375,0.0042343798325295,0.0068417978942897
Arunachal Pradesh,1994,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0054777959166074,0.0043337529841116,0.0068367311669251
Arunachal Pradesh,1995,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0054702550811516,0.0043098613089229,0.0067560573631115
Arunachal Pradesh,1996,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0054025636882002,0.0042603031093063,0.0066760707000161
Arunachal Pradesh,1997,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0052593623533869,0.0041748773608466,0.0064495494051437
Arunachal Pradesh,1998,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0050767299695032,0.0040343890186097,0.006174438109719
Arunachal Pradesh,1999,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0048882925748002,0.0038791309881427,0.0059540206227943
Arunachal Pradesh,2000,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0047288039079658,0.0037432341409104,0.0057880707869451
Arunachal Pradesh,2001,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0045707102215427,0.003637662854463,0.005566427895285
Arunachal Pradesh,2002,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0044044559973627,0.0035559672825932,0.0053759870740747
Arunachal Pradesh,2003,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0042376287890577,0.0034472656640437,0.0051879658874447
Arunachal Pradesh,2004,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0040775242731228,0.0033223349968031,0.0050406867980442
Arunachal Pradesh,2005,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0039316942347263,0.0031912691412395,0.0048956542909349
Arunachal Pradesh,2006,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0037927842059861,0.0030908926012439,0.0046951071707462
Arunachal Pradesh,2007,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0036518267684248,0.0029493129678259,0.0045023501764121
Arunachal Pradesh,2008,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0035165308662411,0.0028040642004584,0.0043562528003313
Arunachal Pradesh,2009,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0033940146922897,0.0026768591938218,0.004177384111927
Arunachal Pradesh,2010,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0032912867191728,0.0025475947826221,0.004063233402267
Arunachal Pradesh,2011,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0032010012994344,0.0025127093891994,0.0039345054034388
Arunachal Pradesh,2012,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0031139301880283,0.0024760465068577,0.0038307069215811
Arunachal Pradesh,2013,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0030345038158585,0.0023978136136762,0.0037233666108098
Arunachal Pradesh,2014,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.002967204621538,0.0023529532947505,0.0036299774617282
Arunachal Pradesh,2015,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0029165696920449,0.0023164966180715,0.0035849122276621
Arunachal Pradesh,2016,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0028709829565712,0.0023031793061503,0.0035258304233658
Arunachal Pradesh,2017,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0028236604585467,0.0022264120036375,0.0034680715806723
Arunachal Pradesh,2018,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0027856734295986,0.0021924337168737,0.003425203377684
Arunachal Pradesh,2019,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0027693248135968,0.0021565099134551,0.0034171667232233
Arunachal Pradesh,2020,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0027790509701366,0.0021224163016711,0.0034156050434925
Arunachal Pradesh,2021,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0027056539540808,0.0020473294421965,0.0033943040104151
Assam,1990,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.006589636148209,0.004815861684151,0.008742006375695
Assam,1991,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0069292304131156,0.0052298318612277,0.0090888549876895
Assam,1992,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0072100987333463,0.0055696537887479,0.0093281899315966
Assam,1993,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0074197026813244,0.0057328154452813,0.0094747215693853
Assam,1994,15-49 years,Male,Drug-susceptible tuberculosis,Percent of total prevalent cases,0.0075496732325529,0.0057628906929322,0.0094768098093736
