Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000018067336644,4.16422174e-8,0.0000097304088422
Andhra Pradesh,1991,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000049499819218,8.49452904e-8,0.0000293163559024
Andhra Pradesh,1992,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000082369594123,1.744172761e-7,0.000046452236847
Andhra Pradesh,1993,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000115581977646,3.430854397e-7,0.0000653650585025
Andhra Pradesh,1994,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000148098091789,4.546816081e-7,0.0000845945941475
Andhra Pradesh,1995,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.000017897312805,5.178909014e-7,0.0000972232448021
Andhra Pradesh,1996,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000213108754468,0.000001252724871,0.0001019524257889
Andhra Pradesh,1997,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000252932953879,0.0000020455468164,0.0001199152396358
Andhra Pradesh,1998,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000294013362088,0.0000028136512994,0.0001276877689176
Andhra Pradesh,1999,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000331948921962,0.0000034851344411,0.0001339592049841
Andhra Pradesh,2000,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000362329556691,0.0000035628571253,0.0001477807545993
Andhra Pradesh,2001,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000389064818092,0.0000047397557417,0.0001388115804782
Andhra Pradesh,2002,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000416650162666,0.000005598617964,0.0001298393635128
Andhra Pradesh,2003,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000440987750288,0.0000068317171843,0.0001256493501925
Andhra Pradesh,2004,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000458048344022,0.0000071368537152,0.0001278058283787
Andhra Pradesh,2005,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.000046389060719,0.0000068835588127,0.0001393540037274
Andhra Pradesh,2006,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.000045088102482,0.0000079823474457,0.0001275816844732
Andhra Pradesh,2007,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000419969556147,0.0000075468909139,0.0001192067195365
Andhra Pradesh,2008,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000380378332665,0.0000070192331751,0.0001133595271727
Andhra Pradesh,2009,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000341200247138,0.0000060670409159,0.0001063798181329
Andhra Pradesh,2010,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000311448833551,0.0000046995692792,0.0001039025064719
Andhra Pradesh,2011,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000288632788764,0.0000050383155492,0.0000961401420324
Andhra Pradesh,2012,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000265827510829,0.0000047265299848,0.0000847793266233
Andhra Pradesh,2013,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000245244795523,0.000004288396491,0.0000758533236246
Andhra Pradesh,2014,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000229237669615,0.0000035829133358,0.0000717096067621
Andhra Pradesh,2015,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000220245972662,0.0000030942310343,0.0000747358371196
Andhra Pradesh,2016,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000217416827823,0.000003693329748,0.000072481267816
Andhra Pradesh,2017,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000217333724063,0.0000034117311098,0.000081731850486
Andhra Pradesh,2018,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.000021877292737,0.0000029720923783,0.0000831486011053
Andhra Pradesh,2019,5-14 years,Female,Multidrug-resistant tuberculosis without extensive drug resistance,Percent of total prevalent cases,0.0000220460167969,0.0000020335615782,0.0000863796620187
