Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,0,0,0
Andhra Pradesh,1991,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,2.614721e-9,1.121691e-10,1.79744597e-8
Andhra Pradesh,1992,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,8.8106802e-9,5.630061e-10,4.77672396e-8
Andhra Pradesh,1993,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,1.79067313e-8,1.2883269e-9,8.32385e-8
Andhra Pradesh,1994,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,2.92421798e-8,2.1666453e-9,1.341835251e-7
Andhra Pradesh,1995,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,4.21734053e-8,1.2606404e-9,2.173571004e-7
Andhra Pradesh,1996,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,6.47023791e-8,3.9436465e-9,2.945752565e-7
Andhra Pradesh,1997,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,1.013247343e-7,8.0018918e-9,4.296291484e-7
Andhra Pradesh,1998,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,1.461522619e-7,1.37453447e-8,6.176361164e-7
Andhra Pradesh,1999,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,1.932284706e-7,1.97854418e-8,7.676193838e-7
Andhra Pradesh,2000,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,2.363811664e-7,2.18715545e-8,9.009357487e-7
Andhra Pradesh,2001,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,2.806902166e-7,3.40173369e-8,9.379431362e-7
Andhra Pradesh,2002,<5 years,Male,Extensively drug-resistant tuberculosis,Percent of total prevalent cases,3.307969505e-7,4.6803036e-8,0.0000010668532236
