Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4838693191265821,0.3809550372586491,0.5666441856985617
Andhra Pradesh,1991,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4781997763481223,0.3786520197917052,0.5625463966139781
Andhra Pradesh,1992,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4709577521725858,0.3728367290222634,0.5552839814944752
Andhra Pradesh,1993,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4624233526491093,0.3660290770035312,0.5501108010086073
Andhra Pradesh,1994,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4528551116034123,0.3550032557139136,0.5419967792545062
Andhra Pradesh,1995,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4425161169915564,0.3412547064075961,0.5348520966787924
Andhra Pradesh,1996,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4275380218049107,0.331452749405678,0.5211341906325033
Andhra Pradesh,1997,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4063263353170874,0.3073885546339084,0.497135002902434
Andhra Pradesh,1998,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3826660419348018,0.2882517757451852,0.4763792387381427
Andhra Pradesh,1999,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3604563529299059,0.2662437390644349,0.4575956286052671
Andhra Pradesh,2000,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3436728602538516,0.2480415851345926,0.4443539466351196
Andhra Pradesh,2001,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3321431345679991,0.2426631534131505,0.4304774723294219
Andhra Pradesh,2002,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3224398762139162,0.2353267899457011,0.4196656750692052
Andhra Pradesh,2003,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3136608035674883,0.2290923096129213,0.4119214003171695
Andhra Pradesh,2004,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3049229288168372,0.2210589110197688,0.4057397630497255
Andhra Pradesh,2005,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.295368031919666,0.2120994488032007,0.3969842699106732
Andhra Pradesh,2006,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2836829627241505,0.2051145832981525,0.3788670080228676
Andhra Pradesh,2007,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2704076549641666,0.1956874234022624,0.3611238213362951
Andhra Pradesh,2008,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2575011085519388,0.1876452049536462,0.3420308001811258
Andhra Pradesh,2009,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2469607176393446,0.1816751061453741,0.3305078972424893
Andhra Pradesh,2010,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2408010280441783,0.1783827319267753,0.3268177896903452
Andhra Pradesh,2011,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2386527178614087,0.1769289068365995,0.3224741738294827
Andhra Pradesh,2012,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2381116163002993,0.1762335540125631,0.3219846763577522
Andhra Pradesh,2013,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2380868460359524,0.1749489886216841,0.3204424335368459
Andhra Pradesh,2014,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2375067544232781,0.1731120365267315,0.3189903437930438
Andhra Pradesh,2015,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2353087172987513,0.1706831043612457,0.3169577299235004
Andhra Pradesh,2016,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2278933285881689,0.1644499025900758,0.306658171597242
Andhra Pradesh,2017,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2151863747516672,0.156460020789052,0.28975909965231
Andhra Pradesh,2018,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2013792882522205,0.1476621763864629,0.271451376484254
Andhra Pradesh,2019,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.1907097458497872,0.1383058767773283,0.2580956234159828
Andhra Pradesh,2020,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.183856449836408,0.1340931421694683,0.2499098472164777
Andhra Pradesh,2021,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.17792664004133,0.1307513296698116,0.2426162916236679
Arunachal Pradesh,1990,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.381439172755574,0.2664788880991496,0.5032165330043271
Arunachal Pradesh,1991,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3948012138040275,0.2864815354461852,0.5037565172345829
Arunachal Pradesh,1992,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4043411236323471,0.3028734763457957,0.5059816983501618
Arunachal Pradesh,1993,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4105271614515781,0.3113335082585676,0.506308453460493
Arunachal Pradesh,1994,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4138117030275886,0.3162233597369351,0.5088205601561728
Arunachal Pradesh,1995,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4147075356658009,0.3176416426953152,0.5111374525428245
Arunachal Pradesh,1996,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.4089993788844584,0.3137805580535869,0.4998310265777343
Arunachal Pradesh,1997,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3952909373282863,0.3026545469512286,0.4853092866863502
Arunachal Pradesh,1998,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3783490041200466,0.2867474135472115,0.4672476010267554
Arunachal Pradesh,1999,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3628899863862177,0.2731799123241516,0.4562521719309221
Arunachal Pradesh,2000,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3535640513561862,0.2643712921311303,0.4522735386576308
Arunachal Pradesh,2001,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3491376972081458,0.262347489606684,0.4449264230593683
Arunachal Pradesh,2002,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3453092736142422,0.2610472461334953,0.4411558690209769
Arunachal Pradesh,2003,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.34203962987384,0.2601246761465566,0.4377924225765835
Arunachal Pradesh,2004,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.339267131789028,0.2571794659171551,0.4341074637078914
Arunachal Pradesh,2005,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.336948894811313,0.253675204446963,0.4341523745901693
Arunachal Pradesh,2006,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.33391552290083,0.2491886113876034,0.430534992554836
Arunachal Pradesh,2007,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3297145865032442,0.2430556444432097,0.4236308784331053
Arunachal Pradesh,2008,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3254601484389769,0.2381077030309403,0.4252300525787843
Arunachal Pradesh,2009,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3222618558676328,0.2363991088197106,0.4271290847528053
Arunachal Pradesh,2010,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3211522364646526,0.2322824982107242,0.4340374122747057
Arunachal Pradesh,2011,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3260051872478979,0.2366716891902253,0.4364648326476078
Arunachal Pradesh,2012,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3372003361866317,0.2474049456326841,0.4474005918506749
Arunachal Pradesh,2013,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3506209710249047,0.2592035139252563,0.4573514858801982
Arunachal Pradesh,2014,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3620661070882333,0.2663795911547776,0.4657419600911467
Arunachal Pradesh,2015,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3672516907879636,0.267952274017142,0.4727122707183039
Arunachal Pradesh,2016,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3676785528975835,0.2721431832730519,0.4721879707464921
Arunachal Pradesh,2017,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3678634338935989,0.2741476369607979,0.4784977954661322
Arunachal Pradesh,2018,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3679312577443175,0.2711281899001311,0.4762732694514219
Arunachal Pradesh,2019,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3680160776615635,0.2678772644519636,0.4748466650540427
Arunachal Pradesh,2020,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3684324833970877,0.2687338763234704,0.4744703483322565
Arunachal Pradesh,2021,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3687564582967971,0.2692175508810468,0.4810935426727083
Assam,1990,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3269899235263585,0.204592211761998,0.4710621494286318
Assam,1991,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.338273557967266,0.2178174005221666,0.4717603144107072
Assam,1992,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3462303578049565,0.2279894759166397,0.4684736912613408
Assam,1993,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3513177506986434,0.2383976055142847,0.4662959763247353
Assam,1994,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3539660042100321,0.2424709141203685,0.4637980703677259
Assam,1995,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3546197473549704,0.2451160866408946,0.4623660205759484
Assam,1996,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3490591607277765,0.2427813054383278,0.4549876527405344
Assam,1997,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.3359369657384895,0.2337685856022968,0.4358698875700831
Assam,1998,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.32004910269446,0.2231791674517718,0.417298079567071
Assam,1999,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.306211737296141,0.2138148550958499,0.4060386603191557
Assam,2000,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2992341014390622,0.2096708096683749,0.3962116970257224
Assam,2001,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2979069922562207,0.2126166222464024,0.3889815268019251
Assam,2002,5-14 years,Female,Tuberculosis,Percent of total prevalent cases,0.2974869589050745,0.2153276642071593,0.3852590884696794
