Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.4496215998927487,0.3588325897949109,0.5279840605075568
Andhra Pradesh,1991,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.4345052896918837,0.345140612032734,0.5104048500702882
Andhra Pradesh,1992,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.4194648142533594,0.3315332225676962,0.4963837556886727
Andhra Pradesh,1993,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.4045743656251254,0.3158988101674098,0.4846749971459009
Andhra Pradesh,1994,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3898722129524428,0.3021199748798359,0.4696787641179663
Andhra Pradesh,1995,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3754144611769715,0.2854272538937047,0.4570042286912102
Andhra Pradesh,1996,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3596437737420964,0.2738015913250266,0.4402536610133385
Andhra Pradesh,1997,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3424041463254503,0.2614863249096136,0.4229304266579726
Andhra Pradesh,1998,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3258560645963921,0.2495831664331962,0.4060554819952254
Andhra Pradesh,1999,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3121306155190168,0.2386168687693646,0.3948438177075009
Andhra Pradesh,2000,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3033577620976674,0.2296637518304088,0.3885742619110195
Andhra Pradesh,2001,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2983821438021556,0.2272582480066385,0.3777045090791785
Andhra Pradesh,2002,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2943330792757013,0.225194070510289,0.3762414832756012
Andhra Pradesh,2003,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2907515084241897,0.2225801268377671,0.3742615186275713
Andhra Pradesh,2004,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2871637053220753,0.219023271263283,0.3708870303667357
Andhra Pradesh,2005,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2831010286141674,0.2141836987447514,0.3648590291835674
Andhra Pradesh,2006,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2777759952584207,0.2106979150195128,0.3568892617471253
Andhra Pradesh,2007,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2711259897191995,0.2075389744344839,0.3446933997444837
Andhra Pradesh,2008,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.26366132155145,0.2010905709963078,0.3341984711120809
Andhra Pradesh,2009,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2558851593749345,0.1957837252274369,0.3236501733166262
Andhra Pradesh,2010,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2482869595259601,0.1910193712115639,0.3144592032242649
Andhra Pradesh,2011,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2407099439353471,0.1844060634085283,0.3028747333936256
Andhra Pradesh,2012,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2327606945436973,0.1793877692281479,0.2933627660883457
Andhra Pradesh,2013,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2245820380495639,0.1745104859427259,0.2818901057674144
Andhra Pradesh,2014,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2163699715677993,0.1676574938048111,0.2706381708124877
Andhra Pradesh,2015,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.208331418491016,0.1600071059140334,0.2609687480949959
Andhra Pradesh,2016,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2003024803099793,0.1546591417544578,0.2512972952330918
Andhra Pradesh,2017,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.1922444474629378,0.1468346948626384,0.2424148767973641
Andhra Pradesh,2018,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.1845174338519291,0.139018184263532,0.2351058677270816
Andhra Pradesh,2019,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.1774940180593082,0.1341528630720334,0.2274751473996371
Andhra Pradesh,2020,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.1712734577859381,0.1331844368000799,0.2189495687224746
Andhra Pradesh,2021,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.1674561857788365,0.1256481844807909,0.2121812969107256
Arunachal Pradesh,1990,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3275652651471433,0.2297659504928318,0.4295656800024596
Arunachal Pradesh,1991,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3322184064199661,0.2430971177364047,0.4275372055486361
Arunachal Pradesh,1992,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3355483451149003,0.2530387834313921,0.4267031002742093
Arunachal Pradesh,1993,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3376967503419281,0.2591927609760072,0.4255402043873702
Arunachal Pradesh,1994,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3387223601792286,0.2647490291596767,0.4205871403081372
Arunachal Pradesh,1995,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3388576728321869,0.2662743031824753,0.4185862524921959
Arunachal Pradesh,1996,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.336231452774001,0.2647206877177978,0.4111429464923334
Arunachal Pradesh,1997,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3302871347525703,0.2601755038703119,0.404999390170796
Arunachal Pradesh,1998,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3231288386117582,0.2542927055505701,0.3981155678222415
Arunachal Pradesh,1999,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3167945658216238,0.2487017999665757,0.3920712628739164
Arunachal Pradesh,2000,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3132782084944323,0.2471960889345937,0.3870847085243467
Arunachal Pradesh,2001,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3128941303676704,0.2471089766225023,0.3860795247980619
Arunachal Pradesh,2002,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3141020448014054,0.249211740274991,0.3845468431729683
Arunachal Pradesh,2003,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.316006340601246,0.2509003588790355,0.384950758919281
Arunachal Pradesh,2004,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3177751314252037,0.251677223247162,0.387155325493309
Arunachal Pradesh,2005,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3186764833088542,0.253228370702089,0.3886892224852041
Arunachal Pradesh,2006,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3200963147403907,0.251287266667492,0.3902725814884562
Arunachal Pradesh,2007,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3231459776695873,0.2517042525548458,0.3974821695232361
Arunachal Pradesh,2008,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3267993101313017,0.2517339733027569,0.4045842879602771
Arunachal Pradesh,2009,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3299255285921866,0.2523377625496059,0.4122603306624631
Arunachal Pradesh,2010,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3312713008069131,0.2486131270138782,0.4222580486748337
Arunachal Pradesh,2011,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3310522025614215,0.2497931020467941,0.4208694634713452
Arunachal Pradesh,2012,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3304342268770791,0.2502175778576417,0.4162531783855807
Arunachal Pradesh,2013,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3297467402628257,0.2510825784069023,0.407221752302613
Arunachal Pradesh,2014,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3293409974884246,0.2520797344444666,0.4093790040401704
Arunachal Pradesh,2015,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.329579442479359,0.2531587594062048,0.4119129797256577
Arunachal Pradesh,2016,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3315516797982168,0.2559823508147038,0.4113833960548739
Arunachal Pradesh,2017,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3352199570674953,0.2602909779140285,0.4155652680590067
Arunachal Pradesh,2018,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3391601734663775,0.2619419454077301,0.4245089359605744
Arunachal Pradesh,2019,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3419315303753972,0.2622678340498614,0.433333678022004
Arunachal Pradesh,2020,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3431187401938292,0.2579525291596098,0.4375449418832731
Arunachal Pradesh,2021,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3464063721900483,0.2627030693269147,0.4313315777747881
Assam,1990,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2755769398938905,0.1873928141760744,0.4009305690193749
Assam,1991,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2749511417091055,0.1946835864267591,0.390455843337106
Assam,1992,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2738563861220765,0.1991844912298621,0.3811833599847152
Assam,1993,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2724043664266504,0.2017569745308681,0.3719018996825601
Assam,1994,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2706734509639111,0.2033346106531811,0.3649328550999399
Assam,1995,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2688502822823025,0.2032461911928192,0.356406696909965
Assam,1996,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2655826014438909,0.2013822275724245,0.3474374166449183
Assam,1997,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2604129328143166,0.1971958069131857,0.3355553801123717
Assam,1998,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2547616403386685,0.1913833837526904,0.3284663597856556
Assam,1999,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2500061858999444,0.1863186513079882,0.3257093686834114
Assam,2000,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2475355299773267,0.1836650061132303,0.321212726991035
Assam,2001,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2475632680964631,0.186142022558439,0.3164866313366345
Assam,2002,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.248876503935837,0.1910220851275752,0.3149004393870683
Assam,2003,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2507876719454536,0.1965191213607162,0.3128748417014341
Assam,2004,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2525948801746165,0.2016717921287384,0.3118805851053428
Assam,2005,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2535960288881074,0.2036147255698371,0.3119365527768417
Assam,2006,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2543824558784736,0.2034946676413584,0.3118082724143379
Assam,2007,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2557757415689673,0.2018013520900696,0.3129254833866111
Assam,2008,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2573274915409312,0.2002922602455762,0.3151366936326447
Assam,2009,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2586411478419071,0.2008543896248634,0.3186248653605344
Assam,2010,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2592508023129485,0.1997825852139649,0.3213055006854698
Assam,2011,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2575950085408802,0.1985933599661635,0.3170978838593187
Assam,2012,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2535493005689567,0.1978140962664887,0.3097026631173574
Assam,2013,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2487721099600678,0.1960643440445361,0.3023619958797048
Assam,2014,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2448945256839434,0.1945958726883287,0.2979323481302035
Assam,2015,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2435741912199495,0.1922551251515898,0.2981340649511216
Assam,2016,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.248944240130702,0.1960999932798021,0.3043522555002629
Assam,2017,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2602913566936918,0.2030718802430921,0.3199827944989443
Assam,2018,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2719027043563172,0.2100614306324184,0.3404957774087484
Assam,2019,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2779938908124942,0.2111740096125415,0.3507260047081716
Assam,2020,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2778175683144557,0.210836509193722,0.3532057046164997
Assam,2021,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2798924915463509,0.2146338919128168,0.3579598047679687
Bihar,1990,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2659404909188603,0.168292720952745,0.3972577113579855
Bihar,1991,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2673606296772706,0.1778100491483321,0.382926123351391
Bihar,1992,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2678281407690251,0.1855602974350107,0.3724073285758946
Bihar,1993,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2674982040167521,0.1918331043710573,0.3642405724991008
Bihar,1994,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2665365460275791,0.194928448559551,0.3593288343735639
Bihar,1995,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2650849993467856,0.1953801066925136,0.3496554608367537
Bihar,1996,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2612271068633095,0.1933610839096841,0.3432178238538218
Bihar,1997,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2544003664228682,0.1890574414018823,0.3316539513280776
Bihar,1998,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2467668522372527,0.1839824711596228,0.3202406072484079
Bihar,1999,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2404991296599188,0.1788481867508887,0.3122884520453537
Bihar,2000,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2377607432687575,0.1758572646002677,0.3068832060824297
Bihar,2001,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2387371709585122,0.1780402136267972,0.3050030031992293
Bihar,2002,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2414379826225307,0.185926535578542,0.3066404382375175
Bihar,2003,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2447878782833243,0.1925228859072484,0.3059849148530592
Bihar,2004,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2477126275542022,0.197035788929463,0.3068068874281378
Bihar,2005,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2491331403964834,0.1991643150638131,0.3084513271571623
Bihar,2006,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2492661183794239,0.2000270090255873,0.3068118057650488
Bihar,2007,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2491359606713316,0.1976522416297459,0.3050722243061956
Bihar,2008,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2488492730903279,0.1962852186575841,0.306349221461065
Bihar,2009,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.24849068796497,0.1940741235272922,0.3068269550856263
Bihar,2010,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.248156495805689,0.1912360702782081,0.3100163597164451
Bihar,2011,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.246324344646031,0.1901600833660969,0.3059000292688615
Bihar,2012,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2423919654520743,0.1890975376837473,0.2969726712690712
Bihar,2013,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2378170366197229,0.1873429820661225,0.2917192088904177
Bihar,2014,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.234098797516095,0.1835863475315981,0.2879304551799965
Bihar,2015,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2327669222968469,0.1817126989616336,0.287542577083804
Bihar,2016,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.236645668051442,0.1850377943631692,0.2898782304534379
Bihar,2017,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.244986305524696,0.1901295063808742,0.3022199519141846
Bihar,2018,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2539347666881597,0.1958352169422953,0.3197986447700174
Bihar,2019,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2596454709365065,0.1966828758993016,0.3290314403156295
Bihar,2020,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2617503127787107,0.1984090200678809,0.3343426823748706
Bihar,2021,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.2630370518710112,0.1988404786348473,0.3376235711827849
Chhattisgarh,1990,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.4612199273487974,0.3706221356548175,0.5375337677880538
Chhattisgarh,1991,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.4471191935208881,0.3562627322240594,0.5250021204635607
Chhattisgarh,1992,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.4330607280451538,0.3447488933491561,0.5083487584951117
Chhattisgarh,1993,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.4191224280505596,0.3322554942338171,0.4966663797886831
Chhattisgarh,1994,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.4053810764070805,0.3186031168762462,0.4860173740395921
Chhattisgarh,1995,<5 years,Female,Tuberculosis,Percent of total prevalent cases,0.3919210265851443,0.3050303797269479,0.4781901575221496
