Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.4456335343519347,0.3829643545292793,0.5034694818210825
Andhra Pradesh,1991,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.4417828982503176,0.3809004951646266,0.4989827547822933
Andhra Pradesh,1992,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.4367615918778705,0.3763895480514605,0.4958406465343901
Andhra Pradesh,1993,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.4308240959456417,0.3691275030090823,0.4900001130748747
Andhra Pradesh,1994,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.4241692465878315,0.3607255732582006,0.4849070768558524
Andhra Pradesh,1995,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.4170000751333805,0.3542105371171674,0.4815674487757063
Andhra Pradesh,1996,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.4073822343598747,0.347985625001057,0.4710155688860078
Andhra Pradesh,1997,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.3945513557586037,0.3384069371308849,0.4562257200988361
Andhra Pradesh,1998,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.3803088472008152,0.3272978423994221,0.4433750949468426
Andhra Pradesh,1999,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.3664981757117198,0.3149476445697605,0.4302705041605844
Andhra Pradesh,2000,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.3550269992317046,0.3051284803766028,0.4226243868016913
Andhra Pradesh,2001,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.3454100050775711,0.2961322430873336,0.411113862698678
Andhra Pradesh,2002,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.3359334163017581,0.2870584718229624,0.3989681129719239
Andhra Pradesh,2003,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.3265268761614075,0.2791349964619302,0.3875203734270071
Andhra Pradesh,2004,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.3171065031850167,0.2711589863490287,0.3776462306088259
Andhra Pradesh,2005,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.3075833557694507,0.2612659191454344,0.3675210144591477
Andhra Pradesh,2006,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2976449168517261,0.2529384928942987,0.3546610794805779
Andhra Pradesh,2007,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2873520445958226,0.2423947012974574,0.3442603616848128
Andhra Pradesh,2008,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2771424588495079,0.2331068446884665,0.332776806171966
Andhra Pradesh,2009,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2674468043834737,0.2234765978470379,0.3216897358300771
Andhra Pradesh,2010,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.258677478552781,0.2163225025031892,0.3107271424718765
Andhra Pradesh,2011,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2504787238526365,0.208199284098731,0.3004702709735175
Andhra Pradesh,2012,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2423100817747012,0.2028102170958879,0.2905434200778889
Andhra Pradesh,2013,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2343059412480262,0.1968756751700515,0.280822206760361
Andhra Pradesh,2014,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2265942966700126,0.189950650336428,0.2715952267543032
Andhra Pradesh,2015,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2193231897723914,0.1838224210216855,0.2638718189085292
Andhra Pradesh,2016,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2121183163262407,0.1788987532537967,0.2563391233734505
Andhra Pradesh,2017,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.2046937956722963,0.172391937567788,0.2475651096562707
Andhra Pradesh,2018,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.1972747924489693,0.1663250926735504,0.2390127592314685
Andhra Pradesh,2019,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.1900445665443993,0.1601223581783182,0.2308676054479853
Andhra Pradesh,2020,15-49 years,Male,Tuberculosis,Percent of total prevalent cases,0.1827353253068463,0.1537820777691176,0.2203810260536047
