Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0158203051437799,0.0131609821819691,0.0186877957925673
Andhra Pradesh,1991,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0155191214230862,0.013140397413705,0.0179243174377899
Andhra Pradesh,1992,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0152173015571704,0.0129510407593259,0.0174211889864177
Andhra Pradesh,1993,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0149191870119484,0.0127781776873854,0.0170338856327824
Andhra Pradesh,1994,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0146381441175439,0.0125951303552632,0.01680016715904
Andhra Pradesh,1995,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0144005404057658,0.0122992261774713,0.0167468423125563
Andhra Pradesh,1996,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0141825653320797,0.012152700690154,0.0163978016877092
Andhra Pradesh,1997,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0139567593177203,0.0119431767478768,0.0161729938855543
Andhra Pradesh,1998,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0137430852736178,0.0117336972013461,0.016014154315709
Andhra Pradesh,1999,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.013581745122379,0.0113980324956031,0.0159500584178207
Andhra Pradesh,2000,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0134629729290483,0.0111071737349176,0.0159537274653286
Andhra Pradesh,2001,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.013325323693062,0.0111785420382752,0.0156716256077823
Andhra Pradesh,2002,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0131443192151355,0.0111241696792536,0.0153560687290201
Andhra Pradesh,2003,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0129453569538031,0.0109486340020138,0.0150196697760542
Andhra Pradesh,2004,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0127368606843099,0.0108751333575459,0.0147358133853152
Andhra Pradesh,2005,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0125230875694244,0.0106421154572941,0.0146289016651652
Andhra Pradesh,2006,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0122669925310751,0.0105421663205198,0.0141315865906599
Andhra Pradesh,2007,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.011957864313942,0.0103247601108902,0.0136854419536768
Andhra Pradesh,2008,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0116462751655409,0.0100648881525491,0.0133099681971096
Andhra Pradesh,2009,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0113744947842828,0.0097993578508589,0.0129509540923506
Andhra Pradesh,2010,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0111797077504926,0.0095700777929989,0.012906374505251
Andhra Pradesh,2011,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.01103950219984,0.0096149116093446,0.0126889414056123
Andhra Pradesh,2012,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0109216177066552,0.0096263298354279,0.0125677321971969
Andhra Pradesh,2013,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0107932698085751,0.009540828007175,0.0124345268265344
Andhra Pradesh,2014,70+ years,Male,Lower respiratory infections,Percent of total prevalent cases,0.0106739598607729,0.009363874426575,0.0123056924789923
