Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001561240364515,0.0001137619384322,0.0002201436096737
Andhra Pradesh,1991,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001566517725886,0.0001157816867778,0.0002185165520026
Andhra Pradesh,1992,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001575664902447,0.0001177346025815,0.0002177838743521
Andhra Pradesh,1993,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.000158407362521,0.0001177540461312,0.0002181061728938
Andhra Pradesh,1994,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001591141479862,0.0001191145525215,0.0002199899256575
Andhra Pradesh,1995,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001594806297738,0.0001192962958295,0.0002194401001483
Andhra Pradesh,1996,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001607469879843,0.000120160835108,0.00022082037701
Andhra Pradesh,1997,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001619967929825,0.0001203590117653,0.0002224187985381
Andhra Pradesh,1998,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.000163312008983,0.0001206326527921,0.0002252665987969
Andhra Pradesh,1999,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001646468489953,0.0001217687592134,0.0002244688401971
Andhra Pradesh,2000,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001661973784432,0.0001233335651753,0.0002247337419379
Andhra Pradesh,2001,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001666267043916,0.0001234170239839,0.0002253141389519
Andhra Pradesh,2002,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001673092941787,0.0001238531881254,0.0002280648842385
Andhra Pradesh,2003,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001681942633211,0.0001245926175012,0.0002293405275868
Andhra Pradesh,2004,15-49 years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0001692446066808,0.0001246521128816,0.0002337916291708
