Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0131663674527775,0.0094458498016374,0.0174941358026839
Andhra Pradesh,1991,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.013211369442743,0.0096662429432267,0.0175002735374866
Andhra Pradesh,1992,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0132347494132146,0.0097739518757356,0.0175257408340322
Andhra Pradesh,1993,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0132344113799452,0.0097955233959634,0.0175766531888838
Andhra Pradesh,1994,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0132198596753493,0.0098547555288228,0.0176192571201232
Andhra Pradesh,1995,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0131548932077069,0.0098121251885729,0.0175542311659234
Andhra Pradesh,1996,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0130830762592772,0.009784778467721,0.0174000343181701
Andhra Pradesh,1997,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0130913719432442,0.0097424559058369,0.0174588927269654
Andhra Pradesh,1998,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0131511798119259,0.0096784181931137,0.0174812952887869
Andhra Pradesh,1999,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0132320356414589,0.0097048364997762,0.017434244929884
Andhra Pradesh,2000,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0133286023040488,0.0097399372156421,0.0176661189929561
Andhra Pradesh,2001,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0134421763481965,0.0098388678202531,0.0178179081439261
Andhra Pradesh,2002,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0135565838121548,0.0099267361749476,0.017941896841754
Andhra Pradesh,2003,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0136503495507767,0.0099478398727417,0.0179641786534756
Andhra Pradesh,2004,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.01373562877497,0.009963528639634,0.0180944629635242
Andhra Pradesh,2005,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0138087744599405,0.0099849621505894,0.0181823619153728
Andhra Pradesh,2006,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0138485987868975,0.0100958450474326,0.0182129456604987
Andhra Pradesh,2007,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0138736244888011,0.0102877724547974,0.0182485100461497
Andhra Pradesh,2008,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0138942425968837,0.0104737415506667,0.0182953516838231
Andhra Pradesh,2009,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0139376953675882,0.0104794163564877,0.018478621604425
Andhra Pradesh,2010,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0140176289568185,0.0104882358945922,0.0186727195230253
Andhra Pradesh,2011,70+ years,Female,Hypertensive heart disease,Percent of total prevalent cases,0.0141373965536595,0.0106692743036648,0.0187151801584779
