Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0008495095434214,0.0005869583980121,0.0012309559343163
Andhra Pradesh,1991,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0008581039556369,0.0005979756387493,0.0012361893717144
Andhra Pradesh,1992,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0008684060072497,0.0006033550361895,0.0012347073602787
Andhra Pradesh,1993,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.000879113895826,0.0006145430371778,0.0012464390006135
Andhra Pradesh,1994,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0008895976762786,0.0006197982229909,0.0012459378391305
Andhra Pradesh,1995,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0008994899843979,0.0006214723150548,0.0012574541759051
Andhra Pradesh,1996,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009090096810548,0.0006367442052357,0.0012670496494402
Andhra Pradesh,1997,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009180904805524,0.0006488413700233,0.0012859624546633
Andhra Pradesh,1998,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009261530991293,0.0006580513973403,0.0012937093475938
Andhra Pradesh,1999,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009319530362402,0.0006607912486934,0.00130956959569
Andhra Pradesh,2000,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009351470387837,0.000666957756622,0.0013099245400355
Andhra Pradesh,2001,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009303501408768,0.0006600888037292,0.0013041049861209
Andhra Pradesh,2002,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.000924542796629,0.0006564585764719,0.0012975980713964
Andhra Pradesh,2003,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009193607704602,0.0006529250227294,0.0012893284369059
Andhra Pradesh,2004,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.000915945392352,0.0006477813379959,0.0012834705395688
Andhra Pradesh,2005,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009151205120558,0.0006458570135766,0.0012774691325935
Andhra Pradesh,2006,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.00091808350419,0.0006460256954745,0.0012774739001856
Andhra Pradesh,2007,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009231717000199,0.0006484947244243,0.0012842972108407
Andhra Pradesh,2008,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.000928893877941,0.0006519744018762,0.0012969341168834
Andhra Pradesh,2009,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009337620555494,0.0006535889870076,0.0013102865562048
Andhra Pradesh,2010,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.000935574239378,0.0006546904379132,0.0013078451104047
Andhra Pradesh,2011,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009330892887044,0.0006582587974563,0.0013085844333419
Andhra Pradesh,2012,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009249725550694,0.0006495124983396,0.0012892942306612
Andhra Pradesh,2013,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009129343267706,0.0006355550999016,0.0012794609694266
Andhra Pradesh,2014,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009015886839195,0.0006310232619749,0.0012552826169223
Andhra Pradesh,2015,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0008938917363982,0.0006195207050731,0.0012527598954941
Andhra Pradesh,2016,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009003199212906,0.0006309576527441,0.0012723353393792
Andhra Pradesh,2017,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009064025929526,0.0006367552115325,0.0012914967860622
Andhra Pradesh,2018,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009117358561279,0.0006295524683713,0.0013331237308139
Andhra Pradesh,2019,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.000914171485166,0.000614917343045,0.0013541424521349
Andhra Pradesh,2020,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009167579307271,0.0006029662976376,0.0013431003914701
Andhra Pradesh,2021,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0009546953416084,0.0006065806437065,0.0014928233686469
Arunachal Pradesh,1990,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012360655143023,0.0008752581876908,0.0017312218962261
Arunachal Pradesh,1991,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012453835144682,0.0008914671125817,0.0017174340782934
Arunachal Pradesh,1992,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012581061419951,0.0009148304125169,0.0017150109763501
Arunachal Pradesh,1993,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012723398380164,0.0009267690080197,0.001743299428782
Arunachal Pradesh,1994,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012866421145612,0.0009414853509096,0.0017529341371251
Arunachal Pradesh,1995,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012997508235918,0.000953234363008,0.001777200668647
Arunachal Pradesh,1996,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013142972790019,0.0009686960750292,0.001777906545453
Arunachal Pradesh,1997,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013290679377758,0.0009698582202943,0.0018076853596196
Arunachal Pradesh,1998,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013426203026497,0.0009764834278542,0.0018170397850191
Arunachal Pradesh,1999,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013533997833526,0.0009843776644796,0.001836437398676
Arunachal Pradesh,2000,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013609149919787,0.0009794081212057,0.0018385844566676
Arunachal Pradesh,2001,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013562324739946,0.0009901668545687,0.0018276995322599
Arunachal Pradesh,2002,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013512055846973,0.0009869943428645,0.0018192760807281
Arunachal Pradesh,2003,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013461120422907,0.0009843093128319,0.0018325566293494
Arunachal Pradesh,2004,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013408931702808,0.0009801196101599,0.0018403751817842
Arunachal Pradesh,2005,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013351775484554,0.0009654857578104,0.0018471336509033
Arunachal Pradesh,2006,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013308728732599,0.0009671640765889,0.0018444307614601
Arunachal Pradesh,2007,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013282590194596,0.000972492061429,0.0018199681646514
Arunachal Pradesh,2008,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.00132409475971,0.0009802275003995,0.0018141079455658
Arunachal Pradesh,2009,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013174588448515,0.0009752581324121,0.0018133464663444
Arunachal Pradesh,2010,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013067591910915,0.0009631598344732,0.0018077300011139
Arunachal Pradesh,2011,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012993057052396,0.0009686199742513,0.0017816810209526
Arunachal Pradesh,2012,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012945675738708,0.0009707947752767,0.0017469410515614
Arunachal Pradesh,2013,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012887782967033,0.000962735331421,0.0017415226353141
Arunachal Pradesh,2014,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012826424838476,0.0009514809037908,0.0017446279392583
Arunachal Pradesh,2015,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012749113333197,0.0009444709876265,0.0017459555094293
Arunachal Pradesh,2016,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012845886128518,0.0009453092858273,0.0017409433660588
Arunachal Pradesh,2017,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0012928540129772,0.0009425302597705,0.0017669492336715
Arunachal Pradesh,2018,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013007285565039,0.000935856088598,0.0018077960230388
Arunachal Pradesh,2019,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.001306571016415,0.000915958765429,0.0018442458043302
Arunachal Pradesh,2020,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013143266662872,0.0009225890232737,0.0018614211295218
Arunachal Pradesh,2021,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0013274915622143,0.000859300290719,0.0019627972660723
Assam,1990,50-69 years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0015504708906472,0.0010904377464203,0.0021922767976413
