Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0063872660042822,0.0043418162063232,0.0090371607562098
Andhra Pradesh,1991,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064478587815893,0.0044321182790124,0.0090697228145705
Andhra Pradesh,1992,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064932006391683,0.0045687596377845,0.0090443996761473
Andhra Pradesh,1993,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065181291492938,0.0046485262330306,0.0090156603593733
Andhra Pradesh,1994,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065208310012846,0.0046732853452594,0.0088969606691304
Andhra Pradesh,1995,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065077341274176,0.0046613018854652,0.0088944095264233
Andhra Pradesh,1996,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064823329382264,0.0046736316183173,0.0088016285371965
Andhra Pradesh,1997,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064476088939452,0.0046428855487473,0.0088357681175606
Andhra Pradesh,1998,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064114403056343,0.0046248701783368,0.0087699152083852
Andhra Pradesh,1999,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.006401689718039,0.0045754333559856,0.0087137167881843
Andhra Pradesh,2000,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064134872803303,0.0045073490839359,0.0088657165820857
Andhra Pradesh,2001,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064211270917494,0.0045915125745975,0.008887545213751
Andhra Pradesh,2002,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064226642910672,0.00466377885561,0.0088980819547315
Andhra Pradesh,2003,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064306983432081,0.0046687138602225,0.0088450592085624
Andhra Pradesh,2004,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064459226499851,0.0046787772477339,0.0088736767193891
Andhra Pradesh,2005,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064657767493904,0.0046045052466363,0.0089139790846518
Andhra Pradesh,2006,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064909787796023,0.0046383253697959,0.0089070501635673
Andhra Pradesh,2007,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065196066802708,0.0046838332069328,0.0089034060482619
Andhra Pradesh,2008,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065510289360744,0.004730157177029,0.009013113226035
Andhra Pradesh,2009,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065756234653301,0.0047284160536131,0.0090604439603604
Andhra Pradesh,2010,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065773584088165,0.0046196412777997,0.0091113182335837
Andhra Pradesh,2011,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065439417175994,0.0046672327703341,0.0090099179439975
Andhra Pradesh,2012,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064909267507953,0.0046523620362829,0.0089175643325325
Andhra Pradesh,2013,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0063960669292836,0.0045894178152868,0.0088286147489364
Andhra Pradesh,2014,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0062868130242678,0.0044670469863209,0.0087387426939221
Andhra Pradesh,2015,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0062570282983251,0.0044322500362326,0.0087318430378199
Andhra Pradesh,2016,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0063161531750065,0.0045395020786134,0.0087593836583117
Andhra Pradesh,2017,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.006405348878174,0.0045991697089307,0.0088654591904086
Andhra Pradesh,2018,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0064934872179211,0.0046329264376432,0.0089943085689381
Andhra Pradesh,2019,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065655434327664,0.0045419354219879,0.0091299896686829
Andhra Pradesh,2020,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0065991442327034,0.0045248392534483,0.009235450176054
Andhra Pradesh,2021,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0066977098863702,0.0044325303206537,0.0096744500722944
Arunachal Pradesh,1990,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0082848172519936,0.0055641141001207,0.0117001415219414
Arunachal Pradesh,1991,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0083448302956242,0.0057951929653373,0.0116419442902376
Arunachal Pradesh,1992,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.008397166872149,0.005907555861254,0.0115335702554807
Arunachal Pradesh,1993,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0084402637712823,0.0060116385235659,0.0115919772645848
Arunachal Pradesh,1994,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0084737627332229,0.0060217745227065,0.0116907813399305
Arunachal Pradesh,1995,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0084952702253119,0.005988644774738,0.0116936118736169
Arunachal Pradesh,1996,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0085122958807428,0.0060722720623937,0.0116028012412926
Arunachal Pradesh,1997,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0085300233157699,0.0061067410148257,0.0116293938356754
Arunachal Pradesh,1998,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.008541384692753,0.0061218328753277,0.0116790637589134
Arunachal Pradesh,1999,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0085487221246656,0.0061094745120296,0.0116405983804523
Arunachal Pradesh,2000,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0085504089642232,0.0059546847988591,0.0116852099055597
Arunachal Pradesh,2001,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0085502623257933,0.0060369769690041,0.0117345402109297
Arunachal Pradesh,2002,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0085619212832631,0.0061259088936176,0.0117608225370771
Arunachal Pradesh,2003,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0085930364647251,0.0062205640211254,0.0117288572287338
Arunachal Pradesh,2004,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0086346190269964,0.0062009259065837,0.0118150723712417
Arunachal Pradesh,2005,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.008683956088413,0.0062013925862387,0.011909400916902
Arunachal Pradesh,2006,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0087457474968438,0.0061141453206507,0.0119580541246447
Arunachal Pradesh,2007,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.008823386946309,0.0062399234660967,0.0120024518444492
Arunachal Pradesh,2008,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0089151582808908,0.0062675001868554,0.0120866335678304
Arunachal Pradesh,2009,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0090167875473513,0.0063507864949998,0.0122639276456367
Arunachal Pradesh,2010,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0091225985695512,0.0063965141148332,0.0123995072015398
Arunachal Pradesh,2011,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0092356699440991,0.0065078086632647,0.0125549991946203
Arunachal Pradesh,2012,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0093625209751896,0.006566373641319,0.0127574281777067
Arunachal Pradesh,2013,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0094761777975696,0.0066602718625836,0.012921056250935
Arunachal Pradesh,2014,70+ years,Male,Hypertensive heart disease,Percent of total prevalent cases,0.0095601433427552,0.0067017768311599,0.0131217303061673
