Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Andhra Pradesh,1990,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4874810303141765,0.4423847742533212,0.5290248386028014
Andhra Pradesh,1991,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4891008110313454,0.4481312613915861,0.5290264459829708
Andhra Pradesh,1992,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4906669402588843,0.4519945490959025,0.5274640030999594
Andhra Pradesh,1993,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4921390044649206,0.4561303297662952,0.5271685822313618
Andhra Pradesh,1994,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4935227606817871,0.4573874008206712,0.5284905077358268
Andhra Pradesh,1995,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4947591718535044,0.4594968683427115,0.5292240899504903
Andhra Pradesh,1996,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4960624988436713,0.4615718171832637,0.5280145780248002
Andhra Pradesh,1997,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4975894803028608,0.4643261639993289,0.5269434985637063
Andhra Pradesh,1998,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4991138386542274,0.467877543389687,0.5263158064678853
Andhra Pradesh,1999,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.5002481419830457,0.4707499350190109,0.5273287315738926
Andhra Pradesh,2000,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.5007339476863906,0.4717393987442927,0.5280710885099313
Andhra Pradesh,2001,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.500433729185402,0.4734440290017834,0.5246850406654903
Andhra Pradesh,2002,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4994281197122094,0.4745008291733495,0.5221677139176207
Andhra Pradesh,2003,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4978781317102616,0.4738930315081714,0.5193904553739603
Andhra Pradesh,2004,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4959200754891072,0.4729365927862975,0.5171439679709073
Andhra Pradesh,2005,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4936442778665434,0.4703247418800129,0.5153669901551031
Andhra Pradesh,2006,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4907361576752463,0.46856232232402,0.5111872612349011
Andhra Pradesh,2007,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4871471721654144,0.4654974522092412,0.5081101440493085
Andhra Pradesh,2008,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4831332794974336,0.4606427522998456,0.5053109948644696
Andhra Pradesh,2009,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4788994295634434,0.4567227984473286,0.5016025108384339
Andhra Pradesh,2010,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4746572117357205,0.4512127481020002,0.4979624677128281
Andhra Pradesh,2011,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4702437943753637,0.4494619342330371,0.492736549210316
Andhra Pradesh,2012,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.465689041110391,0.4452141600368967,0.4861925605991056
Andhra Pradesh,2013,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4615114037339707,0.4403067135588954,0.4827460541488801
Andhra Pradesh,2014,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4578726010895949,0.4351349227476275,0.4805537953691829
Andhra Pradesh,2015,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4545907013520555,0.4296628419101523,0.4782500614891956
Andhra Pradesh,2016,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.451619122744463,0.4273424755440116,0.475785243409193
Andhra Pradesh,2017,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4490220053718468,0.4243023572790656,0.4761984051520024
Andhra Pradesh,2018,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4467737831832069,0.4195727609168318,0.475637283087541
Andhra Pradesh,2019,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.444779132509198,0.4149908716665704,0.4767435980263708
Andhra Pradesh,2020,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4434669828531525,0.4120425482707925,0.4785222900490084
Andhra Pradesh,2021,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.4469039392146953,0.4135305622056793,0.4837066620640375
Arunachal Pradesh,1990,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.2888279856700477,0.170654185048005,0.3557973716673006
Arunachal Pradesh,1991,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.2899950060301415,0.1946580392631406,0.3506737572252569
Arunachal Pradesh,1992,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.2906057188359915,0.212523735970541,0.3482852239015191
Arunachal Pradesh,1993,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.2907328068186209,0.2121250292864689,0.3450618395555629
Arunachal Pradesh,1994,<5 years,Both,Dietary iron deficiency,Percent of total prevalent cases,0.2903855944792686,0.205429484599664,0.3418677825025485
