regionName;countryName;year;Dietary iron deficiency|Both|<5 years;Drug-susceptible tuberculosis|Female|70+ years;Latent tuberculosis infection|Male|5-14 years;Tuberculosis|Male|70+ years;Upper respiratory infections|Female|50-69 years;Latent tuberculosis infection|Male|70+ years;Lower respiratory infections|Female|50-69 years;Drug-susceptible tuberculosis|Male|15-49 years;Tuberculosis|Female|15-49 years;Multidrug-resistant tuberculosis without extensive drug resistance|Male|<5 years;Lower respiratory infections|Male|5-14 years;Drug-susceptible tuberculosis|Male|50-69 years;Latent tuberculosis infection|Female|15-49 years;Multidrug-resistant tuberculosis without extensive drug resistance|Female|<5 years;Upper respiratory infections|Male|50-69 years;Hypertensive heart disease|Female|70+ years;Tuberculosis|Female|5-14 years;Lower respiratory infections|Male|50-69 years;Latent tuberculosis infection|Male|50-69 years;Upper respiratory infections|Male|5-14 years;Tuberculosis|Male|5-14 years;Extensively drug-resistant tuberculosis|Female|5-14 years;Hypertensive heart disease|Male|70+ years;Drug-susceptible tuberculosis|Female|<5 years;Multidrug-resistant tuberculosis without extensive drug resistance|Male|15-49 years;Multidrug-resistant tuberculosis without extensive drug resistance|Female|5-14 years;Hypertensive heart disease|Female|15-49 years;Upper respiratory infections|Male|<5 years;Drug-susceptible tuberculosis|Male|5-14 years;Extensively drug-resistant tuberculosis|Male|5-14 years;Tuberculosis|Male|<5 years;Lower respiratory infections|Female|<5 years;Extensively drug-resistant tuberculosis|Female|<5 years;Latent tuberculosis infection|Female|<5 years;Lower respiratory infections|Female|5-14 years;Upper respiratory infections|Female|15-49 years;Upper respiratory infections|Female|5-14 years;Multidrug-resistant tuberculosis without extensive drug resistance|Male|50-69 years;Extensively drug-resistant tuberculosis|Female|50-69 years;Latent tuberculosis infection|Male|<5 years;Tuberculosis|Male|15-49 years;Extensively drug-resistant tuberculosis|Female|15-49 years;Tuberculosis|Female|<5 years;Latent tuberculosis infection|Female|70+ years;Hypertensive heart disease|Male|15-49 years;Lower respiratory infections|Male|70+ years;Tuberculosis|Female|70+ years;Drug-susceptible tuberculosis|Female|50-69 years;Latent tuberculosis infection|Male|15-49 years;Lower respiratory infections|Male|15-49 years;Hypertensive heart disease|Male|50-69 years;Tuberculosis|Female|50-69 years;Multidrug-resistant tuberculosis without extensive drug resistance|Female|70+ years;Extensively drug-resistant tuberculosis|Male|70+ years;Upper respiratory infections|Female|70+ years;Tuberculosis|Male|50-69 years;Extensively drug-resistant tuberculosis|Male|15-49 years;Drug-susceptible tuberculosis|Male|70+ years;Multidrug-resistant tuberculosis without extensive drug resistance|Male|70+ years;Lower respiratory infections|Female|70+ years;Drug-susceptible tuberculosis|Female|5-14 years;Latent tuberculosis infection|Female|50-69 years;Extensively drug-resistant tuberculosis|Male|50-69 years;Extensively drug-resistant tuberculosis|Male|<5 years;Drug-susceptible tuberculosis|Female|15-49 years;Upper respiratory infections|Female|<5 years;Latent tuberculosis infection|Female|5-14 years;Lower respiratory infections|Female|15-49 years;Multidrug-resistant tuberculosis without extensive drug resistance|Female|15-49 years;Hypertensive heart disease|Female|50-69 years;Upper respiratory infections|Male|15-49 years;Upper respiratory infections|Male|70+ years;Multidrug-resistant tuberculosis without extensive drug resistance|Female|50-69 years;Drug-susceptible tuberculosis|Male|<5 years;Lower respiratory infections|Male|<5 years;Multidrug-resistant tuberculosis without extensive drug resistance|Male|5-14 years;Extensively drug-resistant tuberculosis|Female|70+ years
Asia;Andhra Pradesh;1990;0.4874810303141765;0.0231267394399153;0.4871021977640198;0.4279490267353513;0.0134561189384398;0.3932801934454034;0.0045713860597103;0.0066088444324374;0.4115725782005946;1.6505272993e-06;0.0014051125038245;0.017374063746577;0.4050221251266676;1.9658620599e-06;0.0136062619935004;0.0131663674527775;0.4838693191265821;0.0049973325804015;0.4451680875011773;0.0220096676485386;0.4882463863890085;0.0;0.0063872660042822;0.0031773746505424;4.0575881776e-06;1.8067336644e-06;0.0001561240364515;0.0350532554954075;0.001143481993262;0.0;0.4465651215755463;0.0029974200095584;0.0;0.4464422593801459;0.0013027431664183;0.0166645602567518;0.0217890062720432;1.04931480219e-05;0.0;0.443892126301706;0.4456335343519347;0.0;0.4496215998927487;0.3661304224950267;7.80270999085e-05;0.0158203051437799;0.3892713519873761;0.011233995435357;0.43902063233132;0.0012625306791704;0.0008495095434214;0.4314511702433931;1.41900524339e-05;0.0;0.0104720692268643;0.4625526443957756;0.0;0.0346478422882039;2.09910017435e-05;0.0153063438328373;0.0029152027094322;0.4202103630663987;0.0;0.0;0.0065463868561433;0.0331830919706025;0.4809523096834852;0.001095437042122;4.0662177841e-06;0.0017754666312364;0.0169205642373295;0.0106503548544647;6.8117416379e-06;0.0026713447465413;0.003477583133482;7.066317271e-07;0.0
Asia;Andhra Pradesh;1991;0.4891008110313454;0.0225838964552672;0.4815576089039977;0.4187113749849182;0.0134376630689902;0.3849400430405097;0.0045246961685728;0.0065150903659075;0.4056159932322245;4.6961757593e-06;0.0013789935731311;0.0170868710277039;0.3990957373968671;5.8266343311e-06;0.0135999364536908;0.013211369442743;0.4781997763481223;0.0048557795116482;0.4406040477120296;0.0220452011692566;0.4826575767011142;2.8034195e-09;0.0064478587815893;0.0030778329796523;1.18586641921e-05;4.9499819218e-06;0.0001566517725886;0.0351270545942851;0.0010980392810194;1.027922e-09;0.4313867982850861;0.0028220449020572;3.4165442e-09;0.431421626661356;0.0012786925455307;0.0166731156916752;0.0217444380802822;2.88040289353e-05;1.02979553e-08;0.4288065492426328;0.4417828982503176;7.3100757e-09;0.4345052896918837;0.3579664835186705;7.78687403005e-05;0.0155191214230862;0.3805891500137949;0.0110619346690096;0.4352559425512106;0.0012459183075322;0.0008581039556369;0.4246889517564761;3.87489904927e-05;3.12544158e-08;0.010468373399393;0.4577197383453123;6.6690073e-09;0.0337146825115113;5.66181784811e-05;0.0153154162377925;0.0027594525097169;0.4136079236336962;1.55766438e-08;2.614721e-09;0.006507505215268;0.0332223660285677;0.4754353710530636;0.0010745633266972;1.27433100136e-05;0.0017825073980551;0.016921887030324;0.0106216018684808;1.90831558149e-05;0.0025755502519731;0.0032520829181815;1.9274881751e-06;2.10493642e-08
Asia;Andhra Pradesh;1992;0.4906669402588843;0.0220198952949436;0.4748281534723095;0.4093675689533375;0.0134181216899959;0.3764856697475954;0.0044750361032835;0.0064020958968577;0.3986096617158163;7.8936263511e-06;0.0013519731338133;0.0167810607655163;0.3921352979292899;9.8189629214e-06;0.0135905391951765;0.0132347494132146;0.4709577521725858;0.0047293244130722;0.4355209480728529;0.0220531460443608;0.4758826196314591;9.2129569e-09;0.0064932006391683;0.0029717390184651;2.02871523343e-05;8.2369594123e-06;0.0001575664902447;0.0351714998743498;0.0010512229987983;3.6108383e-09;0.4161790373972805;0.0026780988591211;1.10709839e-08;0.4164832452009885;0.0012540675089944;0.0166782535130613;0.0216833324762132;4.97858751033e-05;3.73562748e-08;0.4136926943139458;0.4367615918778705;2.49499649e-08;0.4194648142533594;0.3496453126869527;7.78308887887e-05;0.0152173015571704;0.371731835609328;0.0108655906332095;0.430339185833814;0.0012297618565941;0.0008684060072497;0.4176390862840067;6.65515500077e-05;1.11825077e-07;0.0104671066728066;0.4523518518492814;2.2994865e-08;0.0327846290070006;9.71583736642e-05;0.0152812992619934;0.0026067838856442;0.4067406054619982;5.71358087e-08;8.8106802e-09;0.0064523795039486;0.0332356196187996;0.4683427221145725;0.0010538229651461;2.19593326123e-05;0.0017957313240215;0.0169221126426737;0.0106009539803911;3.28528325238e-05;0.002478440646303;0.0030569384390976;3.2395495132e-06;7.60774239e-08
Asia;Andhra Pradesh;1993;0.4921390044649206;0.0214293972996211;0.4671123247137233;0.3999903511794374;0.0133998927086908;0.3679890275467825;0.0044183026277311;0.0062710799249181;0.3907758923812077;1.11605505517e-05;0.0013245707490774;0.0164526225393621;0.3843610584202995;1.38319138004e-05;0.0135802575796794;0.0132344113799452;0.4624233526491093;0.0046195057141079;0.4299899519805156;0.0220397505999134;0.4681211695491967;1.85075894e-08;0.0065181291492938;0.0028608452114295;2.9092451533e-05;1.15581977646e-05;0.000158407362521;0.0351912389038719;0.0010042367584993;7.4324853e-09;0.4010604165825682;0.0025703136607353;2.21601199e-08;0.4016996663397759;0.0012294035679098;0.0166816529490084;0.0216100309680321;7.28016248576e-05;7.83327815e-08;0.3986678738602376;0.4308240959456417;5.09881547e-08;0.4045743656251254;0.3412352600915035;7.77877792043e-05;0.0149191870119484;0.362761509812265;0.0106449257566206;0.4245238763428157;0.0012136733834764;0.000879113895826;0.4103341213737879;9.66933607379e-05;2.328794889e-07;0.0104692419665523;0.4465154964145537;4.72263745e-08;0.0318599044369656;0.0001411863161999;0.0152068584182771;0.0024590107500911;0.399641366749104;1.202698182e-07;1.79067313e-08;0.0063833283739619;0.0332256306187619;0.4599527651936643;0.0010321189191075;3.14545987919e-05;0.0018112531035072;0.0169227263304265;0.0105901350757349;4.77505352821e-05;0.0023813642650471;0.0029035286436874;4.6006444885e-06;1.590604029e-07
Asia;Andhra Pradesh;1994;0.4935227606817871;0.0208188890092414;0.4585686237318712;0.3905556251634245;0.0133840150675882;0.3594331561717949;0.004354612089249;0.0061257755312307;0.3822973282536022;1.4418125682e-05;0.0012972753699268;0.0161015736084754;0.3759529916344634;1.77544808023e-05;0.0135699569768881;0.0132198596753493;0.4528551116034123;0.004531192135383;0.4240725272820347;0.0220117433325737;0.459532809584711;2.99715546e-08;0.0065208310012846;0.0027459259993174;3.80252937737e-05;1.48098091789e-05;0.0001591141479862;0.0351921394971818;0.000958202392199;1.21778681e-08;0.3861212318448164;0.0025029969387263;3.58946216e-08;0.3871084965777013;0.0012052881303488;0.0166832690053638;0.0215298466663753;9.71991965516e-05;1.303332336e-07;0.3838216988155182;0.4241692465878315;8.34885265e-08;0.3898722129524428;0.3327436638304339;7.77774374351e-05;0.0146381441175439;0.353691123909353;0.0104020698931511;0.4180053681699626;0.0011981241594569;0.0008895976762786;0.4027994228028732;0.0001283070564669;3.855566603e-07;0.0104734975568776;0.440271500591999;7.75928642e-08;0.0309348251255162;0.0001872583094533;0.0151052751268516;0.0023180220315828;0.3923338253727953;2.005049374e-07;2.92421798e-08;0.0063032803179256;0.033196363064092;0.450522249791096;0.0010093201498381;4.09728126866e-05;0.0018280512667454;0.0169237736194677;0.0105891728080253;6.33972036929e-05;0.0022850856614365;0.0028028853112571;5.9712827723e-06;2.640132109e-07
Asia;Andhra Pradesh;1995;0.4947591718535044;0.0201831082081176;0.4493431910186327;0.3810366117929079;0.0133712414754672;0.3507933437648067;0.0042855502668255;0.0059692523244379;0.3733707730064192;1.75885338662e-05;0.0012706889463615;0.0157312274140135;0.3671055684772132;2.14794625014e-05;0.0135601779918847;0.0131548932077069;0.4425161169915564;0.0044702236200234;0.4178367272259527;0.0219774276148551;0.4502649426454466;4.29148157e-08;0.0065077341274176;0.0026282402612505;4.68292645162e-05;1.7897312805e-05;0.0001594806297738;0.0351784771509802;0.0009144162818656;1.75487427e-08;0.3714686619185761;0.0024807959897502;5.15070183e-08;0.3727646899462015;0.0011824262219059;0.0166834229318148;0.0214491512454756;0.0001223273238333;1.904165449e-07;0.3692610314334428;0.4170000751333805;1.205146513e-07;0.3754144611769715;0.3242008490206989;7.77787461481e-05;0.0144005404057658;0.3445448092608051;0.0101405222694523;0.4109838812450921;0.0011832761538528;0.0008994899843979;0.395065720852747;0.0001604672075435;5.610359032e-07;0.0104828729486205;0.4336905752916958;1.122993343e-07;0.0300087503695194;0.0002339566226787;0.0149606326643905;0.0021858203226573;0.3848455995284842;2.933278959e-07;4.21734053e-08;0.0062148285800744;0.0331498898013531;0.4403123564412782;0.000985040220634;5.02554344799e-05;0.0018462235378533;0.0169258908607014;0.0105966163542707;7.94086382658e-05;0.0021899997778621;0.0027678139260933;7.3177962055e-06;3.848244446e-07
Asia;Andhra Pradesh;1996;0.4960624988436713;0.019514537618425;0.4350745412321691;0.3714515749440218;0.0133593375979398;0.3420618718360114;0.0041994916564754;0.0057809734633729;0.3623992471677464;2.12450919346e-05;0.0012450985992033;0.0153261614051267;0.3562882565167479;2.56554285861e-05;0.013547816416749;0.0130830762592772;0.4275380218049107;0.0044307951855261;0.4110922570904077;0.0218104620189596;0.4359543177697165;6.46846778e-08;0.0064823329382264;0.0024957142820298;5.70979949304e-05;2.13108754468e-05;0.0001607469879843;0.0344718630575361;0.0008708618978996;2.70592346e-08;0.3553933432979073;0.0025223851811847;7.8048812e-08;0.3571223259826691;0.0011608887198186;0.0166774192107552;0.0212805852436517;0.0001531164693259;3.023671407e-07;0.3532822166049562;0.4073822343598747;1.858984575e-07;0.3596437737420964;0.3155131341284537;7.82069564799e-05;0.0141825653320797;0.3352281268059228;0.0098382922021214;0.401543989052369;0.0011706249818765;0.0009090096810548;0.387052454541515;0.0001998450950179;8.873493864e-07;0.0104949036613821;0.4265720026223107;1.738492025e-07;0.0290979739293897;0.0002908418292339;0.0147344512720124;0.0020550325438893;0.3771148474403759;4.676574501e-07;6.47023791e-08;0.0060497814732475;0.0324756528157178;0.4254616137008969;0.0009603746965152;6.10232792933e-05;0.0018697305860135;0.0169276156486265;0.0106165710996261;9.90125318772e-05;0.002089816898637;0.0027975322937067;8.887580413e-06;6.099640262e-07
Asia;Andhra Pradesh;1997;0.4975894803028608;0.0188243640990381;0.4139023273169712;0.3617214737009644;0.0133489609171842;0.3331642349009793;0.0040878091163148;0.0055413899788465;0.3488695501842281;2.56133891666e-05;0.0012201349665929;0.0148641223414415;0.3430238258274509;3.05731949606e-05;0.0135322854209601;0.0130913719432442;0.4063263353170874;0.0043973053262483;0.4036275886580528;0.0214652060979713;0.4147393175042731;9.95851033e-08;0.0064476088939452;0.0023452223533968;6.9380466326e-05;2.52932953879e-05;0.0001619967929825;0.0328145645249437;0.0008261764787003;4.26707361e-08;0.3376265154997602;0.0026180037603227;1.206238346e-07;0.340028230153259;0.0011398001122072;0.01666765400738;0.0209925108000327;0.0001911311731438;4.902213932e-07;0.3356177891288671;0.3945513557586037;2.928048656e-07;0.3424041463254503;0.306626830837039;7.85173055199e-05;0.0139567593177203;0.3257011516784555;0.0094759521237675;0.3889403103126393;0.0011569692306479;0.0009180904805524;0.3785938538184836;0.0002489659475257;1.4384603714e-06;0.0105024184455765;0.4186836049026303;2.750007917e-07;0.0281943282316114;0.0003614721080021;0.0144433238235458;0.0019227101667112;0.3689943275285748;7.627299924e-07;1.013247343e-07;0.0057715372367971;0.0309469245222536;0.4043782322698849;0.0009332204701122;7.38943151143e-05;0.001897952581272;0.0169325643522599;0.0106473093962723;0.0001230839447486;0.0019830116569926;0.0028656309301951;1.0771037866e-05;9.907948529e-07
Asia;Andhra Pradesh;1998;0.4991138386542274;0.0181259557507876;0.3898145708798113;0.3517637438805038;0.0133380050354115;0.3240497522771199;0.0039705768300706;0.0052809312279923;0.3344002017881818;3.00854738128e-05;0.0011954686832142;0.0143780705984657;0.3288753553837343;3.55870289172e-05;0.0135153303850691;0.0131511798119259;0.3826660419348018;0.0043663740683045;0.3956528615475317;0.0210662117402409;0.3906102836610693;1.425374562e-07;0.0064114403056343;0.0021908303763732;8.20904579442e-05;2.94013362088e-05;0.000163312008983;0.0308410100453573;0.0007829384927457;6.18662689e-08;0.3204114064147034;0.0027301232441316;1.725792504e-07;0.3236294746118513;0.0011187016884074;0.0166559702381993;0.0206736400653808;0.000230962215929;7.219479445e-07;0.3185052908614906;0.3803088472008152;4.234890862e-07;0.3258560645963921;0.2976279851814535;7.8855707747e-05;0.0137430852736178;0.3160559371559771;0.0090882039088374;0.3749454256199718;0.0011429098059007;0.0009261530991293;0.3698126698244882;0.0003005307104436;2.1251304495e-06;0.0105062857071876;0.4102630245307264;3.998949063e-07;0.0272763155199327;0.0004355509530016;0.0141174084109707;0.0017982158346558;0.3605757974948292;1.1301688004e-06;1.461522619e-07;0.0054373933905377;0.0291416583576677;0.380838282226481;0.000905780767022;8.70295248233e-05;0.0019298172363748;0.0169381362338673;0.0106796557853789;0.0001479464728766;0.0018758839271376;0.0029467852458033;1.27124222433e-05;1.4655132918e-06
Asia;Andhra Pradesh;1999;0.5002481419830457;0.017433354456695;0.3669775713802956;0.3416209122185559;0.0133272714789872;0.3147527762490736;0.0038622710578014;0.0050279893916617;0.3206136918974417;3.4038602478e-05;0.0011707264482915;0.013886126325003;0.3154096114355058;4.00514254676e-05;0.0135002960572832;0.0132320356414589;0.3604563529299059;0.0043312629746301;0.3873463431269153;0.0207341019290734;0.3677358371995032;1.885451484e-07;0.006401689718039;0.0020466485890044;9.36235271195e-05;3.31948921962e-05;0.0001646468489953;0.0291828232835126;0.0007437253483361;8.21779917e-08;0.3059487601554018;0.0028224712585882;2.272893972e-07;0.3100436882151475;0.0010970159723934;0.0166448277656998;0.0204096732800019;0.0002670944150908;9.656212672e-07;0.3041403305614876;0.3664981757117198;5.603083291e-07;0.3121306155190168;0.2886558372097547;7.92054365518e-05;0.013581745122379;0.3064381972335572;0.008699451042738;0.3613760301699547;0.0011282680982603;0.0009319530362402;0.3607486364103108;0.0003470340767004;2.8601158e-06;0.0105076089076897;0.4015010852102345;5.326229837e-07;0.0263621998217623;0.0005030760319203;0.0137848169112776;0.0016907620511959;0.3518783175941494;1.5213432254e-06;1.932284706e-07;0.0051049158541371;0.0276334591499747;0.3587322074413653;0.0008799670894634;9.86042994693e-05;0.0019620020298559;0.0169431837469658;0.01070160126864;0.0001699021521561;0.0017741977629656;0.0030170664943182;1.44582928797e-05;1.9714904071e-06
